company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Relish New Brand Experience Inc.,2022-06-13T20:27:22.712Z,Advertising & market research,Professional & technical services,Canada,Manitoba,Winnipeg,Service with Minor Environmental Footprint,10-49,relishbranding.ca
One+All,2020-08-11T09:40:04.588Z,Apparel,Wholesale,United Kingdom,Stockport,Stockport,Wholesale/Retail,50-249,oneandall.co.uk
Swetekno ltda.,2022-06-06T17:24:36.113Z,"Other professional, scientific & tech",Professional & technical services,Chile,Santiago Metropolitan Region,Providencia,Service with Minor Environmental Footprint,1-9,www.swetekno.cl
n+p,2022-03-16T07:11:04.589Z,Environmental consulting,Professional & technical services,Switzerland,Canton of Vaud,Lausanne,Service with Minor Environmental Footprint,1-9,www.nplusp.ch
Cog Design Ltd,2022-02-17T06:10:00.39Z,Computer programming services,"Information, communication & technology",United Kingdom,Royal Borough of Greenwich,London,Service with Minor Environmental Footprint,10-49,cogdesign.com
ZEGO LLC,2021-08-18T14:40:33.364Z,Food products,Manufactured Goods,United States,California,San Francisco,Manufacturing,1-9,zegofoods.com
"Two Octobers, LLC",2020-06-25T16:31:47.264Z,Advertising & market research,Professional & technical services,United States,Colorado,Denver,Service with Minor Environmental Footprint,10-49,twooctobers.com
Australia and New Zealand Recycling Platform,2019-05-14T00:00:00Z,Other business support,Administrative & support services,Australia,Victoria,Melbourne,Service with Minor Environmental Footprint,10-49,www.anzrp.com.au
Ellus & Krue,2020-12-22T16:38:53.998Z,Personal care products,Retail,Australia,Queensland,Arundel,Wholesale/Retail,1-9,www.ellusandkrue.com.au
Sales Srl - Soc. Benefit,2022-01-14T08:23:56.472Z,Paper & paper products,Manufactured Goods,Italy,Metropolitan City of Turin,Rivoli,Manufacturing,10-49,www.salesspa.com
Kevin's Natural Foods,2023-01-26T14:32:52.836Z,Food products,Manufactured Goods,United States,California,Stockton,Manufacturing,50-249,www.kevinsnaturalfoods.com
ActionFunder,2020-10-12T13:34:25.526Z,Management consultant - nonprofits,Professional & technical services,United Kingdom,City of London,London,Service with Minor Environmental Footprint,10-49,actionfunder.org
Motive Productions LTD,2022-03-17T08:34:34.32Z,Other manufacturing,Manufactured Goods,United Kingdom,United Kingdom,London,Manufacturing,1-9,www.motive-productions.com
Doing Business Doing Good,2022-02-07T00:19:07.878Z,Other personal services,Other services,Switzerland,Canton of Geneva,Carouge,Service with Minor Environmental Footprint,0,www.doingbusinessdoinggood.com
Tamweel Capital Ltd,2021-12-23T09:57:53.31Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,England,London,Service with Minor Environmental Footprint,1-9,www.tamweelcapital.com
Bark Media,2022-04-06T16:58:28.531Z,Management  consultant - for-profits,Professional & technical services,United States,Kansas,Lawrence,Service with Minor Environmental Footprint,10-49,www.barkmediaco.com
SMARTER,2022-03-08T22:46:17.749Z,Accommodation,Accommodation & food service,United Kingdom,Royal Borough of Kensington and Chelsea,London,Service with Minor Environmental Footprint,1-9,www.book-smarter.com
ManejeBem,2022-02-01T15:57:44.055Z,Other info service activities,"Information, communication & technology",Brazil,Santa Catarina,Florianópolis,Service with Minor Environmental Footprint,1-9,www.manejebem.com
Vamos Expeditions,2020-02-21T16:45:11.734Z,Other recreation,"Arts, entertainment & recreation",Peru,Lima,Lima,Service with Minor Environmental Footprint,1-9,www.vamosexpeditions.com
Anji Mountain,2022-07-18T19:32:29.814Z,Textiles,Wholesale,United States,Missouri,St. Louis,Wholesale/Retail,1-9,anjimountain.com
Naturescapes,2022-04-06T00:45:59.878Z,Landscape services,Administrative & support services,United States,Pennsylvania,Paoli,Service with Significant Environmental Footprint,1-9,www.naturescapes-pa.com
Ground Control Ltd.,2022-03-04T16:30:49.386Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Essex,Billericay,Service with Significant Environmental Footprint,250-999,www.ground-control.co.uk
TICA,2022-02-11T21:08:20.632Z,Fabricated metal products,Wholesale,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Wholesale/Retail,0,tica.com.ar
"MANRESANA de MICOBACTERIOLOGIA, S.L",2023-01-09T13:42:13.059Z,Food products,Wholesale,Spain,Catalonia,Badalona,Wholesale/Retail,0,www.manremyc.cat
Blue Garnet,2022-04-06T17:36:32.07Z,Management consultant - nonprofits,Professional & technical services,United States,California,Los Angeles,Service with Minor Environmental Footprint,1-9,www.bluegarnet.net
Studioneves,2022-03-16T21:15:14.365Z,Other manufacturing,Manufactured Goods,Portugal,Lisbon,Alcabideche,Manufacturing,1-9,www.studioneves.com
Good Threads,2019-07-24T14:43:12.142Z,Leather & related products,Manufactured Goods,United States,Michigan,Royal Oak,Manufacturing,1-9,www.goodthreadsneedlepoint.com
Kri Skincare,2021-05-21T08:32:12.253Z,Personal care products,Manufactured Goods,United Kingdom,Essex,Brentwood,Manufacturing,0,kriskincare.com
